Province,Police Station,Crime,Year,Incidents
KZN,Amanzimtoti,Shoplifting,2007,114
KZN,Amanzimtoti,Shoplifting,2008,113
KZN,Amanzimtoti,Shoplifting,2009,169
KZN,Amanzimtoti,Shoplifting,2010,284
KZN,Amanzimtoti,Shoplifting,2011,350
KZN,Amanzimtoti,Shoplifting,2012,358
KZN,Amanzimtoti,Shoplifting,2013,387
KZN,Amanzimtoti,Shoplifting,2014,431
KZN,Amanzimtoti,Stock-theft,2005,16
KZN,Amanzimtoti,Stock-theft,2006,5
KZN,Amanzimtoti,Stock-theft,2007,4
KZN,Amanzimtoti,Stock-theft,2008,4
KZN,Amanzimtoti,Stock-theft,2009,6
KZN,Amanzimtoti,Stock-theft,2010,5
KZN,Amanzimtoti,Stock-theft,2011,10
KZN,Amanzimtoti,Stock-theft,2012,6
KZN,Amanzimtoti,Stock-theft,2013,3
KZN,Amanzimtoti,Stock-theft,2014,8
KZN,Amanzimtoti,Theft of motor vehicle and motorcycle,2005,299
KZN,Amanzimtoti,Theft of motor vehicle and motorcycle,2006,476
KZN,Amanzimtoti,Theft of motor vehicle and motorcycle,2007,490
KZN,Amanzimtoti,Theft of motor vehicle and motorcycle,2008,353
KZN,Amanzimtoti,Theft of motor vehicle and motorcycle,2009,301
KZN,Amanzimtoti,Theft of motor vehicle and motorcycle,2010,348
KZN,Amanzimtoti,Theft of motor vehicle and motorcycle,2011,274
KZN,Amanzimtoti,Theft of motor vehicle and motorcycle,2012,288
KZN,Amanzimtoti,Theft of motor vehicle and motorcycle,2013,319
KZN,Amanzimtoti,Theft of motor vehicle and motorcycle,2014,264
KZN,Amanzimtoti,Theft out of or from motor vehicle,2005,484
KZN,Amanzimtoti,Theft out of or from motor vehicle,2006,458
KZN,Amanzimtoti,Theft out of or from motor vehicle,2007,472
KZN,Amanzimtoti,Theft out of or from motor vehicle,2008,238
KZN,Amanzimtoti,Theft out of or from motor vehicle,2009,184
KZN,Amanzimtoti,Theft out of or from motor vehicle,2010,235
KZN,Amanzimtoti,Theft out of or from motor vehicle,2011,206
KZN,Amanzimtoti,Theft out of or from motor vehicle,2012,283
KZN,Amanzimtoti,Theft out of or from motor vehicle,2013,283
KZN,Amanzimtoti,Theft out of or from motor vehicle,2014,358
KZN,Amanzimtoti,Total Sexual Crimes,2005,57
KZN,Amanzimtoti,Total Sexual Crimes,2006,61
KZN,Amanzimtoti,Total Sexual Crimes,2007,61
KZN,Amanzimtoti,Total Sexual Crimes,2008,45
KZN,Amanzimtoti,Total Sexual Crimes,2009,67
KZN,Amanzimtoti,Total Sexual Crimes,2010,58
KZN,Amanzimtoti,Total Sexual Crimes,2011,71
KZN,Amanzimtoti,Total Sexual Crimes,2012,54
KZN,Amanzimtoti,Total Sexual Crimes,2013,49
KZN,Amanzimtoti,Total Sexual Crimes,2014,62
KZN,Amanzimtoti,Truck hijacking,2005,1
KZN,Amanzimtoti,Truck hijacking,2006,1
KZN,Amanzimtoti,Truck hijacking,2007,0
KZN,Amanzimtoti,Truck hijacking,2008,0
KZN,Amanzimtoti,Truck hijacking,2009,0
KZN,Amanzimtoti,Truck hijacking,2010,0
KZN,Amanzimtoti,Truck hijacking,2011,3
KZN,Amanzimtoti,Truck hijacking,2012,0
KZN,Amanzimtoti,Truck hijacking,2013,1
KZN,Amanzimtoti,Truck hijacking,2014,1
KZN,Amanzimtoti,Unlawful possession of firearms and ammunition,2005,38
KZN,Amanzimtoti,Unlawful possession of firearms and ammunition,2006,62
KZN,Amanzimtoti,Unlawful possession of firearms and ammunition,2007,94
KZN,Amanzimtoti,Unlawful possession of firearms and ammunition,2008,21
KZN,Amanzimtoti,Unlawful possession of firearms and ammunition,2009,28
KZN,Amanzimtoti,Unlawful possession of firearms and ammunition,2010,41
KZN,Amanzimtoti,Unlawful possession of firearms and ammunition,2011,36
KZN,Amanzimtoti,Unlawful possession of firearms and ammunition,2012,29
KZN,Amanzimtoti,Unlawful possession of firearms and ammunition,2013,23
KZN,Amanzimtoti,Unlawful possession of firearms and ammunition,2014,20
KZN,Babanango,All theft not mentioned elsewhere,2005,98
KZN,Babanango,All theft not mentioned elsewhere,2006,74
KZN,Babanango,All theft not mentioned elsewhere,2007,42
KZN,Babanango,All theft not mentioned elsewhere,2008,70
KZN,Babanango,All theft not mentioned elsewhere,2009,82
KZN,Babanango,All theft not mentioned elsewhere,2010,73
KZN,Babanango,All theft not mentioned elsewhere,2011,41
KZN,Babanango,All theft not mentioned elsewhere,2012,55
KZN,Babanango,All theft not mentioned elsewhere,2013,47
KZN,Babanango,All theft not mentioned elsewhere,2014,74
KZN,Babanango,Arson,2005,8
KZN,Babanango,Arson,2006,5
KZN,Babanango,Arson,2007,9
KZN,Babanango,Arson,2008,14
KZN,Babanango,Arson,2009,2
KZN,Babanango,Arson,2010,4
KZN,Babanango,Arson,2011,7
KZN,Babanango,Arson,2012,3
KZN,Babanango,Arson,2013,6
KZN,Babanango,Arson,2014,3
KZN,Babanango,Assault with the intent to inflict grievous bodily harm,2005,62
KZN,Babanango,Assault with the intent to inflict grievous bodily harm,2006,52
KZN,Babanango,Assault with the intent to inflict grievous bodily harm,2007,69
KZN,Babanango,Assault with the intent to inflict grievous bodily harm,2008,92
KZN,Babanango,Assault with the intent to inflict grievous bodily harm,2009,81
KZN,Babanango,Assault with the intent to inflict grievous bodily harm,2010,81
KZN,Babanango,Assault with the intent to inflict grievous bodily harm,2011,86
KZN,Babanango,Assault with the intent to inflict grievous bodily harm,2012,56
KZN,Babanango,Assault with the intent to inflict grievous bodily harm,2013,67
KZN,Babanango,Assault with the intent to inflict grievous bodily harm,2014,56
KZN,Babanango,Attempted murder,2005,8
KZN,Babanango,Attempted murder,2006,6
KZN,Babanango,Attempted murder,2007,7
KZN,Babanango,Attempted murder,2008,9
KZN,Babanango,Attempted murder,2009,4
KZN,Babanango,Attempted murder,2010,13
KZN,Babanango,Attempted murder,2011,6
KZN,Babanango,Attempted murder,2012,4
KZN,Babanango,Attempted murder,2013,0
KZN,Babanango,Attempted murder,2014,6
KZN,Babanango,Burglary at non-residential premises,2005,8
KZN,Babanango,Burglary at non-residential premises,2006,17
KZN,Babanango,Burglary at non-residential premises,2007,12
KZN,Babanango,Burglary at non-residential premises,2008,13
KZN,Babanango,Burglary at non-residential premises,2009,16
KZN,Babanango,Burglary at non-residential premises,2010,12
KZN,Babanango,Burglary at non-residential premises,2011,17
KZN,Babanango,Burglary at non-residential premises,2012,7
KZN,Babanango,Burglary at non-residential premises,2013,14
KZN,Babanango,Burglary at non-residential premises,2014,22
KZN,Babanango,Burglary at residential premises,2005,53
KZN,Babanango,Burglary at residential premises,2006,42
KZN,Babanango,Burglary at residential premises,2007,42
KZN,Babanango,Burglary at residential premises,2008,19
KZN,Babanango,Burglary at residential premises,2009,23
KZN,Babanango,Burglary at residential premises,2010,25
KZN,Babanango,Burglary at residential premises,2011,22
KZN,Babanango,Burglary at residential premises,2012,26
KZN,Babanango,Burglary at residential premises,2013,17
KZN,Babanango,Burglary at residential premises,2014,28
KZN,Babanango,Carjacking,2005,3
KZN,Babanango,Carjacking,2006,1
KZN,Babanango,Carjacking,2007,3
KZN,Babanango,Carjacking,2008,2
KZN,Babanango,Carjacking,2009,1
KZN,Babanango,Carjacking,2010,0
KZN,Babanango,Carjacking,2011,1
KZN,Babanango,Carjacking,2012,0
KZN,Babanango,Carjacking,2013,0
KZN,Babanango,Carjacking,2014,0
KZN,Babanango,Commercial crime,2005,5
KZN,Babanango,Commercial crime,2006,8
KZN,Babanango,Commercial crime,2007,6
KZN,Babanango,Commercial crime,2008,4
KZN,Babanango,Commercial crime,2009,4
KZN,Babanango,Commercial crime,2010,3
KZN,Babanango,Commercial crime,2011,1
KZN,Babanango,Commercial crime,2012,2
KZN,Babanango,Commercial crime,2013,7
KZN,Babanango,Commercial crime,2014,4
KZN,Babanango,Common assault,2005,35
KZN,Babanango,Common assault,2006,24
KZN,Babanango,Common assault,2007,37
KZN,Babanango,Common assault,2008,37
KZN,Babanango,Common assault,2009,26
KZN,Babanango,Common assault,2010,30
KZN,Babanango,Common assault,2011,35
KZN,Babanango,Common assault,2012,26
KZN,Babanango,Common assault,2013,24
KZN,Babanango,Common assault,2014,38
KZN,Babanango,Common robbery,2005,6
KZN,Babanango,Common robbery,2006,9
KZN,Babanango,Common robbery,2007,14
KZN,Babanango,Common robbery,2008,13
KZN,Babanango,Common robbery,2009,9
KZN,Babanango,Common robbery,2010,11
KZN,Babanango,Common robbery,2011,6
KZN,Babanango,Common robbery,2012,6
KZN,Babanango,Common robbery,2013,10
KZN,Babanango,Common robbery,2014,3
KZN,Babanango,Crimen injuria,2005,5
KZN,Babanango,Crimen injuria,2006,7
KZN,Babanango,Crimen injuria,2007,3
KZN,Babanango,Crimen injuria,2008,8
KZN,Babanango,Crimen injuria,2009,14
KZN,Babanango,Crimen injuria,2010,7
KZN,Babanango,Crimen injuria,2011,9
KZN,Babanango,Crimen injuria,2012,10
KZN,Babanango,Crimen injuria,2013,11
KZN,Babanango,Crimen injuria,2014,0
KZN,Babanango,Culpable homicide,2005,8
KZN,Babanango,Culpable homicide,2006,14
KZN,Babanango,Culpable homicide,2007,10
KZN,Babanango,Culpable homicide,2008,16
KZN,Babanango,Culpable homicide,2009,8
KZN,Babanango,Culpable homicide,2010,10
KZN,Babanango,Culpable homicide,2011,16
KZN,Babanango,Culpable homicide,2012,0
KZN,Babanango,Culpable homicide,2013,15
KZN,Babanango,Culpable homicide,2014,9
KZN,Babanango,Driving under the influence of alcohol or drugs,2005,1
KZN,Babanango,Driving under the influence of alcohol or drugs,2006,2
KZN,Babanango,Driving under the influence of alcohol or drugs,2007,4
KZN,Babanango,Driving under the influence of alcohol or drugs,2008,3
KZN,Babanango,Driving under the influence of alcohol or drugs,2009,7
KZN,Babanango,Driving under the influence of alcohol or drugs,2010,10
KZN,Babanango,Driving under the influence of alcohol or drugs,2011,3
KZN,Babanango,Driving under the influence of alcohol or drugs,2012,1
KZN,Babanango,Driving under the influence of alcohol or drugs,2013,4
KZN,Babanango,Driving under the influence of alcohol or drugs,2014,11
